
timestamp,host,cpu_usage_percent,memory_usage_percent,disk_io_mb_s,network_io_mb_s,storage_used_gb
2025-06-09 10:00:00,host1,75.2,60.5,15.3,10.2,450.0
2025-06-09 10:01:00,host1,80.1,62.3,16.0,11.0,450.5
2025-06-09 10:02:00,host1,78.4,61.8,15.7,10.8,451.0
2025-06-09 10:03:00,host1,82.3,63.2,16.5,11.5,451.2
2025-06-09 10:04:00,host1,79.6,60.9,15.8,10.7,451.5
2025-06-09 10:05:00,host1,85.1,64.1,17.0,12.0,452.0
2025-06-09 10:06:00,host1,77.8,62.0,15.4,10.9,452.3
2025-06-09 10:07:00,host1,81.2,63.5,16.2,11.3,452.5
2025-06-09 10:08:00,host1,76.5,61.2,15.6,10.6,452.8
2025-06-09 10:09:00,host1,83.0,64.8,16.8,11.8,453.0
2025-06-09 10:00:00,host2,65.4,55.7,12.1,8.5,300.0
2025-06-09 10:01:00,host2,66.8,56.3,12.4,8.7,300.2
2025-06-09 10:02:00,host2,64.2,54.9,11.8,8.3,300.4
2025-06-09 10:03:00,host2,67.5,57.1,12.6,8.9,300.6
2025-06-09 10:04:00,host2,63.9,55.2,11.9,8.4,300.8
2025-06-09 10:05:00,host2,68.2,57.8,12.8,9.0,301.0
2025-06-09 10:06:00,host2,65.7,56.0,12.2,8.6,301.2
2025-06-09 10:07:00,host2,66.4,56.5,12.3,8.8,301.4
2025-06-09 10:08:00,host2,64.8,55.4,12.0,8.5,301.6
2025-06-09 10:09:00,host2,67.1,57.3,12.7,8.9,301.8
2025-06-09 10:00:00,host3,70.3,58.4,13.5,9.2,350.0
2025-06-09 10:01:00,host3,71.8,59.1,13.8,9.4,350.3
2025-06-09 10:02:00,host3,69.7,57.8,13.3,9.1,350.5
2025-06-09 10:03:00,host3,72.4,59.6,14.0,9.5,350.7
2025-06-09 10:04:00,host3,70.1,58.2,13.4,9.3,350.9
2025-06-09 10:05:00,host3,73.0,60.0,14.2,9.6,351.1
2025-06-09 10:06:00,host3,71.2,58.7,13.6,9.3,351.3
2025-06-09 10:07:00,host3,72.8,59.4,13.9,9.5,351.5

